evenement,lieu,moment,individus,texte
propos injurieux entendus,"85 rue de l’Égalité, Brignoles",,,"Des propos déplacés ont été entendus, créant un malaise. La scène s’est produite à 85 rue de l’Égalité, Brignoles."
étouffement temporaire avec aliment,Centre-Val de Loire,,,Un accident alimentaire a brièvement mis une vie en danger. On localise les faits dans la zone de Centre-Val de Loire.
menace verbale contre un enseignant,Haute-Loire,,"Antoine Picard, une infirmière, un journaliste","Un fait divers a marqué les esprits. Haute-Loire serait le le point de départ de l'incident. Antoine Picard, une infirmière, un journaliste a été identifié comme partie prenante."
vente illicite de médicaments,Digne-les-Bains,,Moreau,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Digne-les-Bains. Des témoignages font état de Moreau.
vol de téléphone portable dans les transports,Albi,,"Julien, un menuisier, Chevalier","Des objets ont mystérieusement disparu. C’est dans les environs de Albi que les faits se sont produits. Julien, un menuisier, Chevalier semble impliqué d’une manière ou d’une autre."
intimidation avec couteau,colonne commémorative,après le travail,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent colonne commémorative comme contexte géographique. Le déroulement aurait eu lieu à après le travail.
effet de vibration localisée sur une dalle,porte de la vieille ville,09/2016,,"Un fait divers a marqué les esprits. Les informations pointent vers porte de la vieille ville. Ce moment précis : 09/2016, revient souvent."
intrusion masquée dans une entreprise,avenue de la République,17h33,"une femme, le neveu","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de avenue de la République. 17h33 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une femme, le neveu est évoquée."
vol à l’étalage,Val-d'Oise,06h12,une boulangère,"Des objets ont mystérieusement disparu. La scène s’est produite à la Val-d'Oise. Le moment exact reste flou, mais cela remonterait à 06h12. une boulangère aurait été directement concerné."
tir en l’air à proximité d’un parc,Guadeloupe,samedi,"Sophie, un médecin, le collègue de travail, un agent immobilier, la cousine, un tiers, la sœur","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Guadeloupe. Les faits datent de samedi, d'après certaines sources. La présence de Sophie, un médecin, le collègue de travail, un agent immobilier, la cousine, un tiers, la sœur est signalée sur les lieux."
tensions au sein d’une réunion d’association,fort Vauban,7h50,"une technicienne, un voisin, une pharmacienne, un inconnu","Un fait divers a marqué les esprits. fort Vauban serait le le point de départ de l'incident. On évoque 7h50 comme repère temporel. une technicienne, un voisin, une pharmacienne, un inconnu a été identifié comme partie prenante."
trace de brûlure sur une surface murale,Pyrénées-Atlantiques,,le mari de Marie,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Pyrénées-Atlantiques. Des témoignages font état de le mari de Marie.
explosion de pneu sans blessé,74616,30 mai de l’année 2023,Moreau,Un événement troublant a eu lieu. C’est dans les environs de 74616 que les faits se sont produits. 30 mai de l’année 2023 correspondrait à la période des faits. Moreau semble impliqué d’une manière ou d’une autre.
clignotement d’un voyant non connecté,mairie,,"un notaire, Thomas","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent mairie comme contexte géographique. La situation aurait impliqué un notaire, Thomas."
mise hors service d’une caméra,"83 impasse du Général Leclerc, Carpentras",,"une vieille dame, une amie, Thomas, un voisin, Lemoine","Un fait divers a marqué les esprits. Les informations pointent vers 83 impasse du Général Leclerc, Carpentras. une vieille dame, une amie, Thomas, un voisin, Lemoine figure dans les rapports initiaux."
anomalie de clignotement sur un dispositif lumineux,"avenue des Chênes, Abbeville",19 mai 2015,"un jeune homme, Fabre","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de avenue des Chênes, Abbeville. 19 mai 2015 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de un jeune homme, Fabre est évoquée."
changement brutal de couleur sur un affichage,Seine-et-Marne,,un inconnu,Un événement troublant a eu lieu. La scène s’est produite à la Seine-et-Marne. un inconnu aurait été directement concerné.
flash infrarouge capté sans signal associé,"121 rue Lavoisier, Brignoles",06/2020,"Girard, la sœur, Marchand","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 121 rue Lavoisier, Brignoles. Les faits datent de 06/2020, d'après certaines sources. La présence de Girard, la sœur, Marchand est signalée sur les lieux."
insultes homophobes proférées en public,école communale,12 févr. 2022,,Un fait divers a marqué les esprits. école communale serait le le point de départ de l'incident. On évoque 12 févr. 2022 comme repère temporel.
détention illégale d’arme de poing,"chemin des Chênes, Figeac",le 20/06/2020 à 09h29,,"La présence d’un dispositif menaçant a été évoquée. Le lieu de l’incident a été identifié comme chemin des Chênes, Figeac. La période de le 20/06/2020 à 09h29 est mentionnée."
clou recourbé planté dans un mur en hauteur,40862,19h24,un résident,Un événement troublant a eu lieu. C’est dans les environs de 40862 que les faits se sont produits. 19h24 correspondrait à la période des faits. un résident semble impliqué d’une manière ou d’une autre.
vol à la roulotte,boulevard des Lilas,13 décembre,quelqu’un,Un acte de vol a été commis discrètement. Plusieurs sources mentionnent boulevard des Lilas comme contexte géographique. Le déroulement aurait eu lieu à 13 décembre. La situation aurait impliqué quelqu’un.
vol de carte bancaire,"mairie, Nyons",5/08,"un voisin, Pires, quelqu’un","Une disparition suspecte de biens a été signalée. Les informations pointent vers mairie, Nyons. Ce moment précis : 5/08, revient souvent. un voisin, Pires, quelqu’un figure dans les rapports initiaux."
