texte,individu,lieu,moment
"Dans le silence, le pharmacien de garde tourna plusieurs fois sur lui-même avant de fixer longuement un arbre dans un café du coin.",le pharmacien de garde,un café du coin,le Monday 12 September 2016 à 02h26
Julien Lopes tapota un lampadaire de la paume comme pour vérifier sa solidité. C’était le Saturday 24 June 2017 à 22h21.,Julien Lopes,un parc désert,le Saturday 24 June 2017 à 22h21
"s’effaça dans l’ombre d’un porche sans prononcer un mot, ce fut tout ce qu’on vit de Monique Navarro.",Monique Navarro,"64, chemin Josette Regnier, 39914 Saint Édith",en début d'après-midi
"pendant la pause déjeuner, le pharmacien de garde poussa un cri bref avant de disparaître entre deux voitures.",le pharmacien de garde,le vieux marché,pendant la pause déjeuner
"Nul ne sut pourquoi Jacques Lefebvre ouvrit un sac en plastique et en sortit une petite boîte en métal, le Friday 20 September 2024 à 06h39.",Jacques Lefebvre,la gare centrale,le Friday 20 September 2024 à 06h39
"Sans dire un mot, le pharmacien de garde s’accroupit pour observer quelque chose au sol, l’air perplexe dans une route de campagne.",le pharmacien de garde,une route de campagne,le Thursday 22 November 2018 à 20h48
le livreur en retard tourna plusieurs fois sur lui-même avant de fixer longuement un arbre.,le livreur en retard,,le Wednesday 01 January 2020 à 01h30
un homme à la veste usée tourna plusieurs fois sur lui-même avant de fixer longuement un arbre sans attirer l’attention .,un homme à la veste usée,,
"À cet instant précis, Martin Lesage s’effaça dans l’ombre d’un porche sans prononcer un mot dans un arrêt de bus.",Martin Lesage,un arrêt de bus,le Saturday 09 September 2017 à 18h37
"laissa tomber un trousseau de clés sans s’en apercevoir, ce fut tout ce qu’on vit de une passante inconnue.",une passante inconnue,le vieux marché,un dimanche pluvieux
"Nul ne sut pourquoi Pauline Royer s’effaça dans l’ombre d’un porche sans prononcer un mot, en pleine nuit.",Pauline Royer,,en pleine nuit
ouvrit un sac en plastique et en sortit une petite boîte en métal sans attirer l’attention dans un café du coin.,,un café du coin,
"s’effaça dans l’ombre d’un porche sans prononcer un mot, ce fut tout ce qu’on vit de Auguste Richard.",Auguste Richard,"10, avenue Véronique Turpin, 20901 Lacombe",pendant la pause déjeuner
"Michèle Ribeiro , au lever du jour, laissa tomber un trousseau de clés sans s’en apercevoir.",Michèle Ribeiro,,au lever du jour
"Nul ne sut pourquoi une silhouette encapuchonnée s’accroupit pour observer quelque chose au sol, l’air perplexe, à la sortie des bureaux.",une silhouette encapuchonnée,"768, boulevard Richard Leclerc, 02939 Sainte Constance",à la sortie des bureaux
